Date,symbol,open,high,low,Adj Close,Volume ETH,Volume USDT,tradecount
10/18/2018 0:00,ETH/USDT,212.9,215.3,203.53,206.24,150229.601,31567845.72,85942
10/19/2018 0:00,ETH/USDT,206.25,208,204.21,205,254660.4864,52458006.51,84457
10/20/2018 0:00,ETH/USDT,205.1,209.69,203.57,207.91,62376.6968,12936322.34,34666
10/21/2018 0:00,ETH/USDT,207.91,211.99,206.74,207.49,83277.36128,17462109.69,40862
10/22/2018 0:00,ETH/USDT,207.46,209.3,205,206.67,206046.8996,42711588.92,72089
10/23/2018 0:00,ETH/USDT,206.67,207.8,202.14,205.85,112753.0414,23146110,50937
10/24/2018 0:00,ETH/USDT,205.85,207.95,204.73,205.35,97128.82698,20049428.2,47453
10/25/2018 0:00,ETH/USDT,205.35,205.94,202.88,203.93,77411.57217,15820355.2,37923
10/26/2018 0:00,ETH/USDT,203.84,209,203,204.92,91143.83291,18707018.78,49864
10/27/2018 0:00,ETH/USDT,204.92,206.15,203.09,204.45,50235.68329,10280846.41,52419
10/28/2018 0:00,ETH/USDT,204.45,205.94,203.62,204.99,44394.83357,9084565.916,37134
10/29/2018 0:00,ETH/USDT,204.99,205.49,195.28,196.96,118281.8227,23671711.39,70893
10/30/2018 0:00,ETH/USDT,196.95,198.6,195.91,197.27,83633.81463,16501372.86,56433
10/31/2018 0:00,ETH/USDT,197.24,201.45,193.01,198.73,114739.7042,22632315.26,68261
11/1/2018 0:00,ETH/USDT,198.7,200.95,197.88,199.96,86097.98629,17116621.54,53873
11/2/2018 0:00,ETH/USDT,199.93,203.74,199.34,202.35,97123.22813,19559214.42,61401
11/3/2018 0:00,ETH/USDT,202.31,202.69,198.59,200.31,72084.92932,14456528.38,46801
11/4/2018 0:00,ETH/USDT,200.27,218.76,199,212.11,182534.6216,37959621.57,112393
11/5/2018 0:00,ETH/USDT,212.13,213.39,207.62,210.66,141432.1406,29714567.41,81531
11/6/2018 0:00,ETH/USDT,210.64,221.25,209.11,220.74,197797.4953,42534535.86,110906
11/7/2018 0:00,ETH/USDT,220.77,224.8,217.01,219.07,204931.0342,45252424.09,105883
11/8/2018 0:00,ETH/USDT,219.06,220.78,212.49,212.79,189828.4945,40931506.15,93113
11/9/2018 0:00,ETH/USDT,212.79,215.51,209.1,210.77,152215.9469,32309082.2,72814
11/10/2018 0:00,ETH/USDT,210.78,215.55,209.02,213.25,131384.4789,28019225.01,66005
11/11/2018 0:00,ETH/USDT,213.27,213.99,209,212.54,136268.8116,28875079.88,66072
11/12/2018 0:00,ETH/USDT,212.6,214.22,210.9,212.89,99963.97203,21271725.18,52826
11/13/2018 0:00,ETH/USDT,212.91,213.8,209.2,209.84,114466.3671,24176049.61,65826
11/14/2018 0:00,ETH/USDT,209.84,210.3,176.16,187.43,434676.1683,82531353.98,187653
11/15/2018 0:00,ETH/USDT,187.43,190,170.99,184.35,452416.1078,81674273.89,212442
11/16/2018 0:00,ETH/USDT,184.35,185,173,176.89,241710.3476,43450649.95,120635
11/17/2018 0:00,ETH/USDT,176.93,177.91,173.94,176.2,144804.7099,25452515.64,77570
11/18/2018 0:00,ETH/USDT,176.2,182.94,176.1,178.97,141736.3226,25261184.09,68702
11/19/2018 0:00,ETH/USDT,179.04,179.33,146.47,150.81,596789.8392,94639227.03,224184
11/20/2018 0:00,ETH/USDT,150.76,154.7,126.95,133.82,996552.2872,139191208.5,357568
11/21/2018 0:00,ETH/USDT,133.68,142.01,127.15,138.23,718957.7855,97819681.49,246564
11/22/2018 0:00,ETH/USDT,138.36,140.4,125.64,126.63,334674.0719,44837388.45,117670
11/23/2018 0:00,ETH/USDT,126.58,128.9,118.56,125.02,504352.2439,62657024.05,166040
11/24/2018 0:00,ETH/USDT,125,130.81,112.32,114.89,471321.5676,57264800.07,153585
11/25/2018 0:00,ETH/USDT,114.83,122.35,102.95,118.67,836233.3125,93723314.12,264902
11/26/2018 0:00,ETH/USDT,118.65,121.5,106.41,110.68,679477.3623,77209761.83,224339
11/27/2018 0:00,ETH/USDT,110.66,114.31,102.36,111.43,524024.4062,56638056.01,179214
11/28/2018 0:00,ETH/USDT,111.38,126.8,111.37,122.9,578552.7412,68485222.44,195923
11/29/2018 0:00,ETH/USDT,122.88,124,114.78,117.98,478777.3961,57140533.57,180848
11/30/2018 0:00,ETH/USDT,117.99,120.26,111.09,113.73,418593.6353,48362085.78,153866
12/1/2018 0:00,ETH/USDT,113.71,120.8,111.35,118.1,330159.0674,38614493.63,122161
12/2/2018 0:00,ETH/USDT,118.09,120.73,116,116.57,273657.6215,32184013.76,102151
12/3/2018 0:00,ETH/USDT,116.63,116.96,106.7,108.76,324446.0332,36185196.19,115448
12/4/2018 0:00,ETH/USDT,108.76,113.2,106,109.94,275321.0063,30365546.75,111872
12/5/2018 0:00,ETH/USDT,109.92,110.58,102.38,102.71,354071.5324,37519336.07,111602
12/6/2018 0:00,ETH/USDT,102.73,104.68,90.2,91,586138.5904,58114721.75,188007
12/7/2018 0:00,ETH/USDT,91.18,96.9,82.07,93.05,1030073.585,90499447.34,307599
12/8/2018 0:00,ETH/USDT,93.06,98,84.55,90.38,698217.1253,63224518.55,228982
12/9/2018 0:00,ETH/USDT,90.39,98.7,88.63,93.26,520519.3602,48533111.85,158700
12/10/2018 0:00,ETH/USDT,93.26,95.21,88.11,89.91,408573.0293,37180525.46,119278
12/11/2018 0:00,ETH/USDT,89.88,91.65,85.83,87.76,339991.8425,30055007.22,104079
12/12/2018 0:00,ETH/USDT,87.77,91.31,86.63,89.41,285436.0403,25500398.93,86407
