Name,Code,Date,Open,Close,High,Low,Volume,First,Last
S*Mobarakeh Steel-a,FOLD,20180926,1831,1883.92,1914,1842,112523240,1872.79,1891.87
S*Mobarakeh Steel-a,FOLD,20180929,1884,1918.58,1968,1883,102834373,1968.18,1955.14
S*Mobarakeh Steel-a,FOLD,20180930,1919,2007.92,2014,1955,182219733,1969.77,2014.28
S*Mobarakeh Steel-a,FOLD,20181001,2008,2076.92,2108,1972,160615000,2108.08,2034.95
S*Mobarakeh Steel-a,FOLD,20181002,2077,1975.81,2048,1973,154749494,2047.67,1973.27
S*Mobarakeh Steel-a,FOLD,20181003,1976,1952.28,2003,1900,87423553,1899.82,1984.08
S*Mobarakeh Steel-a,FOLD,20181006,1952,1906.49,2039,1855,127612924,1952.28,1854.98
S*Mobarakeh Steel-a,FOLD,20181007,1906,1822.23,1906,1811,310558307,1850.53,1811.42
S*Mobarakeh Steel-a,FOLD,20181008,1822,1864.84,1913,1809,113145358,1809.20,1912.54
S*Mobarakeh Steel-a,FOLD,20181009,1865,1952.60,1958,1924,88145190,1939.56,1939.24
S*Mobarakeh Steel-a,FOLD,20181010,1953,1954.19,1979,1933,56024305,1968.18,1954.82
S*Mobarakeh Steel-a,FOLD,20181013,1954,1873.74,1980,1857,70783678,1966.59,1875.97
S*Mobarakeh Steel-a,FOLD,20181014,1874,1900.45,1940,1882,12622487,1889.01,1920.48
S*Mobarakeh Steel-a,FOLD,20181015,1900,1973.27,1992,1925,73910186,1925.25,1992.03
S*Mobarakeh Steel-a,FOLD,20181016,1973,1992.03,2021,1970,56808663,2003.15,1980.90
S*Mobarakeh Steel-a,FOLD,20181017,1992,1956.73,2019,1908,261402007,1914.76,2011.74
S*Mobarakeh Steel-a,FOLD,20181020,1957,2016.51,2049,1991,43794197,1991.07,2015.55
S*Mobarakeh Steel-a,FOLD,20181021,2017,2006.02,2035,1980,54366087,2019.05,1993.62
S*Mobarakeh Steel-a,FOLD,20181022,2006,1977.40,2006,1940,47657657,2006.33,2001.25
S*Mobarakeh Steel-a,FOLD,20181023,1977,1933.84,1977,1905,52001112,1977.40,1937.34
S*Mobarakeh Steel-a,FOLD,20181024,1934,1904.27,1940,1877,34089940,1939.56,1898.23
S*Mobarakeh Steel-a,FOLD,20181027,1904,1894.73,1940,1870,35149678,1904.27,1873.11
S*Mobarakeh Steel-a,FOLD,20181028,1895,1893.78,1905,1887,37834030,1891.87,1901.41
S*Mobarakeh Steel-a,FOLD,20181029,1894,1907.45,1930,1894,30971786,1907.77,1894.09
S*Mobarakeh Steel-a,FOLD,20181031,1907,1904.90,1924,1882,36752008,1907.77,1891.23
S*Mobarakeh Steel-a,FOLD,20181103,1905,1874.38,1907,1849,56658338,1891.87,1850.85
S*Mobarakeh Steel-a,FOLD,20181104,1874,1868.97,1892,1846,21867703,1875.97,1852.12
S*Mobarakeh Steel-a,FOLD,20181105,1869,1871.52,1886,1862,26827123,1871.20,1875.97
S*Mobarakeh Steel-a,FOLD,20181106,1872,1870.25,1892,1860,30046385,1880.42,1862.62
S*Mobarakeh Steel-a,FOLD,20181110,1870,1852.12,1879,1829,30256007,1869.61,1834.63
S*Mobarakeh Steel-a,FOLD,20181111,1852,1814.60,1858,1781,25440054,1858.48,1813.01
S*Mobarakeh Steel-a,FOLD,20181112,1815,1830.18,1842,1823,21602310,1827.96,1831.46
S*Mobarakeh Steel-a,FOLD,20181113,1830,1849.90,1870,1834,20790448,1856.89,1834.32
S*Mobarakeh Steel-a,FOLD,20181114,1850,1845.13,1860,1830,29923111,1851.17,1837.81
S*Mobarakeh Steel-a,FOLD,20181117,1845,1796.80,1844,1754,31532894,1837.81,1755.78
S*Mobarakeh Steel-a,FOLD,20181118,1797,1727.80,1766,1707,46235249,1765.00,1748.15
S*Mobarakeh Steel-a,FOLD,20181119,1728,1752.28,1770,1732,18366446,1745.61,1749.10
S*Mobarakeh Steel-a,FOLD,20181120,1752,1758.64,1780,1749,12540723,1748.79,1761.82
S*Mobarakeh Steel-a,FOLD,20181121,1759,1744.65,1777,1729,16518250,1739.56,1730.66
S*Mobarakeh Steel-a,FOLD,20181124,1745,1670.57,1730,1658,13181961,1719.85,1657.53
